2012PN200095,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.60003,2012-07-10 14:25,VERTICAL INTEGRATED,WATER,5.7,,23.1,,0.145,,0.49,,37.6,,0.012,,0.003,,18.8,,0.014,,0.135,,0.01,Q,0.36,,0.048,,2.29,,0.011,L,0.01,L,0.001,,106,,0.082,,0.064,,4.48,,1.02,RANGEH,2.88,,1.41,,0.008,,0.005,L,0.001,,0.658,L,0.01,,0.13,,0.003,,158,L,0.01,,0.005,RANGEH,0.316,,1.2,,0.004,,0.286,,0.285,,0.181,,1.7,,0.2,,2760,,0.129,,2.35,,84.7,,0.167,,0.044,,24.6,,0.066,,6.42,,0.564,,5.25,,1.85,,5.9,,0.851,,0.05,,0.005,,4900,,2.96,,2.63,,8.12,,133,,0.924,,5.85,,0.115,L,0.005,,0.001,,6.35,,0.45,,0.28,,0.031,,177,,0.01,,0.06,RANGEH,0.804,,42.3,,0.011,,0.506,,7.86,,2.44,,17.1,,2.2
2012PN200096,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2012-07-10 14:30,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,19.7,,0.076,,0.45,,44.6,,0.007,,0.001,,15.4,,0.009,,0.114,,0.005,,0.08,,0.042,,1.46,,0.014,L,0.01,L,0.001,,63.2,,0.066,,0.051,,4.18,,0.82,,0.679,,1.32,,0.009,L,0.005,L,0.001,,0.676,L,0.01,,0.15,,0.003,,181,L,0.01,,0.005,,0.008,,1.2,,0.004,,0.379,,0.265,,0.144,,0.5,,0.2,,3300,,0.161,,2.85,,107,,0.21,,0.056,,18.7,,0.087,,8.22,,0.712,,4.78,,2.47,,6.44,,1.07,,0.08,,0.008,,6070,,3.76,,3.36,,8.64,,155,,0.919,,7.3,,0.123,L,0.005,,0.001,,7.55,,0.61,,0.34,,0.038,,212,,0.01,,0.078,,0.159,,47.7,,0.016,,0.65,,9.18,,3.16,,22.1,,2
2012PN200097,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.62750,2012-07-11 10:45,VERTICAL INTEGRATED,WATER,4.3,,17.7,,0.08,,0.44,,43.8,,0.011,,0.001,,15.2,,0.012,,0.11,,0.006,,0.07,,0.038,,1.69,,0.01,,0.01,L,0.001,,53.1,,0.067,,0.047,,4.28,,0.78,,0.849,,1.43,,0.007,L,0.005,L,0.001,,0.647,L,0.01,,0.12,,0.002,,165,L,0.01,,0.006,,0.014,,0.7,,0.002,,0.351,,0.254,,0.183,,0.4,,0.2,,3190,,0.15,,2.45,,98,,0.196,,0.048,,16.9,,0.092,,6.61,,0.637,,4.37,,1.98,,5.91,,1.01,,0.08,,0.007,,4860,,3.06,,2.9,,8.15,,127,,0.881,,6.69,,0.124,L,0.005,,0.001,,7.06,,0.44,,0.31,,0.031,,196,,0.01,,0.07,,0.205,,44.6,,0.014,,0.564,,8.43,,2.52,,17.8,,2
2012PN200098,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.62469,2012-07-11 12:12,VERTICAL INTEGRATED,WATER,2.5,,17.1,,0.066,,0.46,,39,,0.009,,0.001,,16.7,,0.007,,0.118,,0.004,,0.07,,0.045,,1.48,,0.011,,0.01,L,0.001,,71.7,,0.073,,0.049,,4.74,,0.89,,0.586,,1.38,,0.006,L,0.005,L,0.001,,0.661,L,0.01,,0.09,,0.002,,140,L,0.01,,0.005,,0.009,,0.8,,0.004,,0.293,,0.251,,0.185,,0.5,,0.2,,3260,,0.143,,2.48,,92.1,,0.186,,0.046,,22.2,,0.075,,6.98,,0.602,,4.53,,2.06,,5.64,,0.967,,0.08,,0.007,,5420,,3.21,,2.79,,8.62,,145,,0.812,,6.45,,0.122,L,0.005,,0.001,,6.84,,0.5,,0.29,,0.032,,181,,0.01,,0.068,,0.161,,47.5,,0.012,,0.525,,8.63,,2.62,,17.4,,2.2
2012PN200099,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.62394,2012-07-11 12:36,VERTICAL INTEGRATED,WATER,5.1,,22.7,,0.065,,0.49,,38.1,,0.018,,0.001,,19.3,,0.01,,0.137,,0.009,,0.08,,0.051,,1.53,,0.012,,0.01,L,0.001,,102,,0.08,,0.06,,5.08,,1.27,,0.618,,1.33,,0.008,L,0.005,L,0.001,,0.695,L,0.01,,0.09,,0.002,,141,L,0.01,,0.005,,0.009,,1.3,,0.003,,0.265,,0.293,,0.192,,0.4,,0.2,,2630,,0.129,,2.14,,82.6,,0.158,,0.039,,25.1,,0.064,,5.59,,0.506,,3.71,,1.68,,4.71,,0.792,,0.06,,0.006,,4100,,2.58,,2.26,,8.35,,122,,0.756,,5.43,,0.107,L,0.005,,0.001,,5.84,,0.31,,0.27,,0.029,,168,,0.01,,0.053,,0.133,,39.3,,0.011,,0.452,,7.09,,2.13,,14,,1.9
2012PN200100,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2012-07-11 12:40,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,14.8,,0.072,,0.42,,40.1,,0.01,,0.001,,14.3,,0.009,,0.098,,0.003,,0.07,,0.039,,1.61,,0.009,L,0.01,L,0.001,,55.5,,0.055,,0.041,,4.12,,0.78,,1.38,,1.31,,0.004,L,0.005,L,0.001,,0.6,L,0.01,,0.11,,0.002,,152,L,0.01,,0.006,,0.028,,1,,0.002,,0.312,,0.223,,0.155,,0.4,,0.2,,3620,,0.163,,2.96,,108,,0.214,,0.052,,21.2,,0.095,,8.35,,0.703,,5.15,,2.49,,6.76,,1.12,,0.08,,0.008,,6390,,3.82,,3.38,,8.75,,164,RANGEH,3.05,,7.68,,0.139,L,0.005,,0.001,,7.58,,0.63,,0.35,,0.042,,200,,0.01,,0.076,,0.2,,55.1,,0.017,,0.62,,9.68,,3.23,,20.9,,2.6
2012PN200111,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.60242,2012-07-24 12:17,VERTICAL INTEGRATED,WATER,2.82,,27.9,,0.083,,0.48,,50.3,,0.009,,0.001,,12.1,,0.007,,0.089,,0.008,,0.09,,0.045,,1.57,,0.014,L,0.01,L,0.001,,64.4,,0.047,,0.043,,3.72,,0.98,,0.692,,1.25,,0.008,L,0.005,L,0.001,,0.626,L,0.01,,0.14,,0.001,,198,L,0.01,,0.005,,0.007,,1.8,,0.004,,0.363,,0.338,,0.109,,0.5,,0.2,,3230,,0.159,,2.46,,105,,0.189,,0.042,,14.9,,0.082,,6.45,,0.62,,4.54,,2.09,,5.68,,0.984,,0.07,,0.007,,5200,,2.99,,2.82,,8.05,,133,,0.973,,6.83,,0.111,L,0.005,,0.001,,7,,0.56,,0.3,,0.03,,219,,0.01,,0.075,,0.157,,45.9,,0.014,,0.589,,8.33,,2.58,,17.4,,2
2012PN200112,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.60014,2012-07-24 13:29,VERTICAL INTEGRATED,WATER,7.26,,33.4,,0.071,,0.47,,44.4,,0.007,,0.001,,15.3,,0.007,,0.104,,0.007,,0.09,,0.043,,1.45,,0.017,L,0.01,L,0.001,,103,,0.069,,0.06,,3.97,,1.18,,0.621,,1.18,,0.007,L,0.005,L,0.001,,0.658,L,0.01,,0.08,,0.001,,175,L,0.01,,0.005,,0.007,,1.9,,0.004,,0.306,,0.356,,0.118,,0.5,,0.2,,2810,,0.134,,2.22,,93.1,,0.167,,0.039,,18.5,,0.07,,5.65,,0.529,,4.04,,1.89,,4.99,,0.836,,0.06,,0.006,,4810,,2.63,,2.53,,7.88,,123,,0.882,,6.16,,0.097,L,0.005,L,0.001,,6.05,,0.44,,0.29,,0.026,,201,,0.01,,0.065,,0.119,,37.7,,0.012,,0.529,,7.29,,2.32,,15.8,,1.6
2012PN200113,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.60003,2012-07-24 13:50,VERTICAL INTEGRATED,WATER,5.03,,31,,0.067,,0.48,,43.5,,0.008,,0.001,,15.7,,0.005,,0.109,,0.006,,0.09,,0.047,,1.38,,0.015,L,0.01,L,0.001,,111,,0.072,,0.062,,4.22,,1.03,,0.592,,1.11,,0.004,L,0.005,L,0.001,,0.673,L,0.01,,0.12,,0.002,,167,L,0.01,,0.006,,0.012,,2,,0.003,,0.298,,0.339,,0.136,,0.5,,0.2,,2660,,0.137,,2.01,,87.4,,0.156,,0.036,,18.9,,0.063,,5.24,,0.516,,3.7,,1.64,,4.57,,0.796,,0.04,,0.005,,4340,,2.46,,2.26,,7.61,,113,,0.808,,5.5,,0.1,L,0.005,,0.001,,6.07,,0.39,,0.24,,0.027,,189,,0.01,,0.058,,0.127,,37.3,,0.016,,0.473,,6.92,,2.07,,13.4,,1.9
2012PN200114,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2012-07-24 14:00,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,35.4,,0.08,,0.48,,48.2,,0.008,,0.001,,13.2,,0.007,,0.101,,0.007,,0.1,,0.044,,1.52,,0.017,L,0.01,L,0.001,,86.5,,0.058,,0.062,,3.85,,0.92,,0.668,,1.19,,0.009,L,0.005,L,0.001,,0.702,L,0.01,,0.14,,0.002,,180,L,0.01,,0.006,,0.012,,1.4,,0.003,,0.337,,0.351,,0.12,,0.5,,0.3,,2820,,0.156,,2.13,,93.1,,0.186,,0.039,,17.3,,0.082,,5.43,,0.546,,4.05,,1.79,,5.69,,0.843,,0.06,,0.005,,4560,,2.53,,2.43,,7.73,,116,,0.915,,5.97,,0.1,,0.006,,0.001,,6.18,,0.5,,0.27,,0.026,,205,,0.01,,0.064,,0.123,,40.4,,0.012,,0.536,,7.38,,2.17,,15.2,,1.9
2012PN200115,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.62750,2012-07-25 10:25,VERTICAL INTEGRATED,WATER,4.29,,29.3,,0.076,,0.45,,46.6,,0.007,,0.001,,13.4,,0.007,,0.091,,0.005,,0.09,,0.044,,1.5,,0.016,,0.01,L,0.001,,85.3,,0.104,,0.055,,3.73,,1.03,,0.635,,1.15,,0.007,L,0.005,L,0.001,,0.631,L,0.01,,0.14,,0.002,,176,L,0.01,,0.006,,0.016,,1.6,,0.002,,0.318,,0.322,,0.123,,0.5,,0.2,,2410,,0.155,,1.87,,85.1,,0.135,,0.033,,16.4,,0.051,,4.66,,0.449,,3.38,,1.44,,4.21,,0.708,,0.05,,0.005,,3840,,2.18,,1.97,,6.68,,94,,0.808,,4.86,,0.086,L,0.005,,0.001,,5.27,,0.29,,0.25,,0.025,,195,,0.01,,0.052,,0.119,,34.5,,0.013,,0.47,,6.21,,1.78,,12,,1.6
2012PN200116,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.62469,2012-07-25 11:09,VERTICAL INTEGRATED,WATER,2.43,,33.7,,0.075,,0.48,,44.2,,0.009,,0.001,,16.5,,0.006,,0.112,,0.005,,0.09,,0.048,,1.32,,0.017,,0.01,L,0.001,,122,,0.075,,0.066,,4.1,,1.16,,0.591,,1.12,,0.009,L,0.005,L,0.001,,0.659,L,0.01,,0.14,,0.001,,162,L,0.01,,0.006,,0.007,,1.6,,0.004,,0.287,,0.318,,0.138,,0.5,,0.3,,2160,,0.115,,1.72,,78.4,,0.123,,0.027,,17.7,,0.049,,4.16,,0.406,,2.97,,1.29,,3.88,,0.615,,0.05,,0.005,,3510,,1.93,,1.79,,6.76,,89.1,,0.722,,4.47,,0.081,L,0.005,,0.001,,4.84,,0.28,,0.23,,0.022,,181,,0.01,,0.046,,0.095,,31.4,,0.018,,0.422,,5.6,,1.62,,11.3,,2.1
2012PN200117,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.62394,2012-07-25 11:24,VERTICAL INTEGRATED,WATER,6.09,,31.3,,0.063,,0.48,,43.8,,0.009,,0.001,,17.2,,0.006,,0.107,,0.008,,0.09,,0.063,,1.31,,0.016,,0.01,L,0.001,,130,,0.067,,0.065,,4.32,,1.6,,0.632,,1.33,,0.007,L,0.005,L,0.001,,0.681,L,0.01,,0.14,,0.002,,161,L,0.01,,0.006,,0.017,,1.7,,0.005,,0.289,,0.331,,0.139,,0.4,,0.3,,2090,,0.114,,1.72,,77.7,,0.116,,0.027,,19.9,,0.05,,4.07,,0.403,,2.89,,1.29,,3.86,,0.604,,0.04,,0.004,,3480,,1.88,,1.74,,6.84,,90.2,,0.722,,4.41,,0.078,L,0.005,,0.001,,4.7,,0.32,,0.23,,0.025,,180,,0.01,,0.048,,0.136,,28.7,,0.015,,0.435,,5.41,,1.6,,11,,1.5
2012PN200118,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2012-07-25 11:30,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,31.3,,0.074,,0.48,,47.7,,0.008,,0.001,,13.4,,0.008,,0.113,,0.007,,0.09,,0.04,,1.71,,0.016,L,0.01,L,0.001,,94.2,,0.068,,0.061,,3.88,,1.12,,0.623,,1.15,,0.006,L,0.005,L,0.001,,0.679,L,0.01,,0.16,,0.001,,178,L,0.01,,0.005,,0.015,,1.7,,0.003,,0.315,,0.319,,0.128,,0.4,,0.3,,2380,,0.132,,1.84,,85.3,,0.136,,0.03,,17.3,,0.068,,4.58,,0.451,,3.26,,1.47,,4.77,,0.675,,0.06,,0.005,,3860,,2.11,,1.99,,6.76,,96.8,,0.904,,4.88,,0.086,L,0.005,,0.001,,5.19,,0.34,,0.27,,0.023,,192,L,0.01,,0.05,,0.129,,39.8,,0.014,,0.472,,6.02,,1.79,,13,,1.6
2012PN200119,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2012-08-06 10:11,VERTICAL INTEGRATED,WATER,4.39,,11.3,,0.105,,0.56,,56.5,,0.009,L,0.001,,15.1,,0.009,,0.094,,0.004,,0.05,,0.039,,1.86,,0.01,,0.01,L,0.001,,67.6,,0.064,,0.049,,4.8,,0.77,,0.808,,1.68,,0.006,L,0.005,L,0.001,,0.751,L,0.01,,0.14,,0.003,,168,L,0.01,,0.007,,0.006,,1.2,,0.003,,0.435,,0.314,,0.159,,0.3,,0.2,,4370,,0.207,,3.33,,137,,0.247,,0.059,,22.8,,0.098,,9.23,,0.834,,6.21,,2.81,,8,,1.44,,0.06,,0.009,,6790,,4.35,,3.66,,10.2,,170,,1.05,,9.01,,0.176,,0.011,,0.002,,9.32,,0.8,,0.4,,0.045,,209,L,0.01,,0.095,,0.217,,64.5,,0.018,,0.757,,11.5,,3.47,,21.5,,3.4
2012PN200120,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 2 OF 10,AL07DD0009,57.2151,-111.61433,2012-08-06 10:37,VERTICAL INTEGRATED,WATER,3.71,,19.7,,0.135,,0.57,,59.7,,0.006,,0.001,,13.1,,0.008,,0.12,,0.005,,0.06,,0.042,,1.99,,0.012,,0.01,L,0.001,,54,,0.062,,0.048,,4.38,,0.84,,0.834,,1.82,,0.008,L,0.005,L,0.001,,0.78,L,0.01,,0.14,,0.002,,182,L,0.01,,0.007,,0.007,,1.1,,0.005,,0.467,,0.357,,0.154,,0.6,,0.3,,5000,,0.226,,3.42,,143,,0.275,,0.062,,19.2,,0.113,,9.97,,0.928,,6.93,,2.96,,8.01,,1.62,,0.06,,0.011,,7220,,4.72,,3.91,,10.1,,177,,1.1,,9.5,,0.199,,0.01,,0.002,,10.3,,0.99,,0.39,,0.048,,211,,0.01,,0.103,,0.206,,69.9,,0.017,,0.786,,12.9,,3.72,,22.7,,3.7
2012PN200121,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 3 OF 10,AL07DD0009,57.21512,-111.61345,2012-08-06 10:48,VERTICAL INTEGRATED,WATER,3.62,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR
2012PN200122,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 4 OF 10,AL07DD0009,57.21516,-111.61577,2012-08-06 11:03,VERTICAL INTEGRATED,WATER,3.11,,22.1,,0.117,,0.61,,58.9,,0.008,,0.001,,14.5,,0.009,,0.117,,0.008,,0.07,,0.044,,2.13,,0.013,,0.01,L,0.001,,60.5,,0.06,,0.05,,4.27,,0.97,,0.831,,1.83,,0.009,L,0.005,L,0.001,,0.765,L,0.01,,0.12,,0.002,,184,L,0.01,,0.007,,0.006,,1.7,,0.005,,0.455,,0.368,,0.155,,0.4,,0.3,,4580,,0.211,,3.28,,140,,0.259,,0.06,,18.7,,0.1,,9.55,,0.867,,6.53,,2.77,,7.92,,1.52,,0.09,,0.009,,6770,,4.5,,3.72,,9.64,,167,,1.06,,9.07,,0.185,,0.007,,0.002,,9.59,,0.76,,0.37,,0.043,,206,,0.01,,0.096,,0.215,,68.5,,0.016,,0.762,,12,,3.54,,21.7,,3.2
2012PN200123,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.61150,2012-08-06 11:16,VERTICAL INTEGRATED,WATER,3.2,,20.6,,0.122,,0.61,,59.7,,0.009,L,0.001,,12.8,,0.008,,0.104,,0.007,,0.07,,0.041,,2.01,,0.013,,0.01,L,0.001,,73.8,,0.071,,0.051,,4.48,,0.89,,0.831,,1.75,,0.008,L,0.005,L,0.001,,0.789,L,0.01,,0.21,,0.001,,182,L,0.01,,0.006,L,0.005,,1.2,,0.006,,0.46,,0.363,,0.161,,0.5,,0.3,,4530,,0.205,,3.3,,138,,0.262,,0.058,,18.6,,0.1,,10,,0.878,,6.32,,2.8,,7.99,,1.56,,0.06,,0.01,,6830,,4.72,,3.73,,9.86,,172,,1.07,,9.16,,0.197,,0.01,,0.003,,9.89,,0.97,,0.41,,0.047,,203,L,0.01,,0.096,,0.423,,63.8,,0.018,,0.757,,12.2,,3.63,,22,,3.7
2012PN200124,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 6 OF 10,AL07DD0009,57.21502,-111.61068,2012-08-06 11:50,VERTICAL INTEGRATED,WATER,2.59,,16.8,,0.101,,0.59,,55.5,,0.007,,0.001,,14.6,,0.008,,0.107,,0.003,,0.06,,0.044,,1.92,,0.013,,0.01,L,0.001,,65.2,,0.062,,0.052,,4.36,,0.84,,0.79,,1.71,,0.009,L,0.005,L,0.001,,0.743,L,0.01,,0.15,,0.003,,172,L,0.01,,0.007,,0.009,,1.9,,0.004,,0.43,,0.341,,0.155,,0.4,,0.3,,4700,,0.22,,3.34,,136,,0.261,,0.061,,20.4,,0.101,,9.72,,0.856,,6.52,,2.8,,7.77,,1.54,,0.08,,0.009,,6990,,4.57,,3.77,,9.79,,175,,1.05,,9,,0.188,,0.007,,0.002,,9.67,,0.85,,0.38,,0.047,,203,L,0.01,,0.097,,0.2,,69.9,,0.015,,0.748,,12.3,,3.63,,22.2,,3.4
2012PN200125,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 7 OF 10,AL07DD0009,57.2152,-111.60980,2012-08-06 12:00,VERTICAL INTEGRATED,WATER,2.59,,21.1,,0.116,,0.61,,54.2,,0.009,,0.001,,15.9,,0.006,,0.104,,0.005,,0.07,,0.042,,2.08,,0.012,,0.01,L,0.001,,85.9,,0.075,,0.057,,4.3,,1.03,,0.778,,1.72,,0.009,L,0.005,L,0.001,,0.754,L,0.01,,0.19,,0.003,,176,L,0.01,,0.007,,0.006,,1.4,,0.004,,0.414,,0.363,,0.155,,0.5,,0.3,,4730,,0.211,,3.19,,135,,0.252,,0.059,,21.2,,0.1,,9.36,,0.845,,6.56,,2.69,,7.58,,1.53,,0.08,,0.008,,7040,,4.41,,3.59,,9.62,,167,,1.01,,8.81,,0.184,,0.01,,0.001,,9.57,,0.81,,0.39,,0.048,,197,L,0.01,,0.094,,0.19,,72.6,,0.017,,0.722,,12.4,,3.44,,21.3,,3.4
2012PN200126,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 8 OF 10,AL07DD0009,57.2153,-111.60903,2012-08-06 12:09,VERTICAL INTEGRATED,WATER,3.26,,21.2,,0.106,,0.62,,54.6,,0.008,,0.001,,17.2,,0.007,,0.111,,0.005,,0.07,,0.045,,2.05,,0.013,,0.01,L,0.001,,91.4,,0.071,,0.057,,4.57,,0.91,,0.822,,1.75,,0.014,L,0.005,L,0.001,,0.765,L,0.01,,0.17,,0.003,,176,,0.01,,0.008,,0.007,,2.9,,0.006,,0.414,,0.377,,0.158,,0.7,,0.3,,4560,,0.214,,3.28,,136,,0.251,,0.059,,22.5,,0.109,,9.39,,0.839,,6.41,,2.83,,7.62,,1.5,,0.05,,0.009,,6890,,4.4,,3.65,,9.81,,175,,1.1,,9.01,,0.192,,0.008,,0.002,,9.39,,0.91,,0.38,,0.047,,198,,0.01,,0.094,,0.197,,69,,0.016,,0.715,,12.2,,3.57,,22.1,,3.5
2012PN200127,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2012-08-06 12:19,VERTICAL INTEGRATED,WATER,3.73,,20.2,,0.112,,0.57,,60.1,,0.009,,0.001,,15.1,,0.009,,0.141,,0.007,,0.07,,0.045,,1.88,,0.013,,0.01,L,0.001,,96.5,,0.075,,0.064,,4.91,,1.02,,0.839,,1.68,,0.013,L,0.005,L,0.001,,0.859,L,0.01,,0.13,,0.003,,169,L,0.01,,0.009,,0.009,,1.2,,0.007,,0.441,,0.352,,0.177,,0.4,,0.3,,4530,,0.191,,3.09,,128,,0.245,,0.054,,22.7,,0.093,,8.69,,0.806,,6.22,,2.58,,7.21,,1.46,,0.08,,0.009,,6480,,4.1,,3.38,,9.61,,164,,0.96,,8.53,,0.178,,0.007,,0.001,,9.27,,0.74,,0.36,,0.045,,194,L,0.01,,0.09,,0.184,,69.7,,0.014,,0.681,,12,,3.28,,19.9,,3.3
2012PN200128,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2012-08-06 12:40,VERTICAL INTEGRATED,WATER,3.11,,18.5,,0.099,,0.56,,52.7,,0.009,,0.001,,17.4,,0.006,,0.105,,0.004,,0.07,,0.045,,1.9,,0.01,,0.01,L,0.001,,86,,0.067,,0.056,,4.48,,0.93,,0.754,,1.6,,0.004,L,0.005,L,0.001,,0.748,L,0.01,,0.14,,0.001,,165,L,0.01,,0.007,,0.009,,1.2,,0.004,,0.398,,0.346,,0.153,,0.5,,0.3,,4290,,0.201,,3.21,,131,,0.245,,0.055,,21.8,,0.098,,9.21,,0.815,,5.97,,2.68,,7.44,,1.4,,0.06,,0.009,,6700,,4.32,,3.54,,9.74,,168,,0.947,,8.8,,0.179,,0.01,,0.002,,9.03,,0.82,,0.39,,0.044,,195,,0.01,,0.089,,0.185,,64.8,,0.017,,0.696,,11.2,,3.4,,20.7,,3.3
2012PN200129,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.61150,2012-08-06 13:30,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,18.8,,0.109,,0.63,,55.1,,0.008,,0.001,,15.1,,0.009,,0.126,,0.005,,0.07,,0.046,,2.05,,0.012,,0.01,L,0.001,,85.3,,0.077,,0.054,,4.29,,0.89,,0.78,,1.82,,0.007,L,0.005,L,0.001,,0.758,L,0.01,,0.12,,0.002,,182,L,0.01,,0.006,,0.007,,1.7,,0.003,,0.428,,0.379,,0.149,,0.5,,0.3,,4650,,0.233,,3.16,,134,,0.25,,0.059,,20.4,,0.099,,9.06,,0.835,,6.49,,2.72,,7.58,,1.49,,0.06,,0.009,,7030,,4.25,,3.56,,9.7,,168,,1.03,,8.88,,0.192,,0.012,,0.002,,9.42,,0.93,,0.36,,0.045,,203,L,0.01,,0.093,,0.211,,63.6,,0.017,,0.73,,12.2,,3.45,,22,,3.7
2012PN200130,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2012-08-07 10:22,VERTICAL INTEGRATED,WATER,4.08,,21.2,,0.124,,0.59,,63.1,,0.01,,0.002,,18,,0.011,,0.185,,0.005,,0.09,,0.056,,2.13,,0.011,,0.01,L,0.001,,109,,0.149,,0.075,,5.42,,4.04,,0.866,,2,,0.011,L,0.005,L,0.001,,0.836,L,0.01,,0.16,,0.003,,197,L,0.01,,0.008,L,0.005,,1.7,,0.003,,0.467,,0.366,,0.241,,0.9,,0.3,,4510,,0.213,,3.16,,132,,0.249,,0.058,,22.3,,0.092,,8.78,,0.792,,6.15,,2.6,,7.35,,1.41,,0.07,,0.01,,6590,,4.11,,3.48,,9.91,,159,,0.995,,8.49,,0.183,,0.011,,0.002,,8.94,,0.74,,0.37,,0.042,,202,L,0.01,,0.093,,0.187,,70.7,,0.016,,0.747,,11.4,,3.31,,20,,3.3
2012PN200131,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 2 OF 10,AL07DD0007,57.31337,-111.67458,2012-08-07 10:40,VERTICAL INTEGRATED,WATER,3.44,,21.1,,0.114,,0.57,,62,,0.01,,0.001,,13.6,,0.013,,0.161,,0.004,,0.09,,0.048,,2.03,,0.014,,0.01,L,0.001,,84.8,,0.091,,0.062,,4.68,,1.71,,0.872,,1.86,,0.009,L,0.005,L,0.001,,0.798,L,0.01,,0.18,,0.002,,184,L,0.01,,0.007,,0.008,,1.6,,0.002,,0.479,,0.359,,0.195,,0.6,,0.4,,4780,,0.219,,3.44,,141,,0.263,,0.062,,17.7,,0.104,,9.7,,0.839,,6.68,,2.88,,8.1,,1.52,,0.09,,0.01,,7260,,4.57,,3.8,,9.6,,175,,1.06,,9.25,,0.199,,0.008,,0.002,,9.36,,0.8,,0.41,,0.044,,208,L,0.01,,0.096,,0.198,,80.7,,0.021,,0.78,,12.3,,3.58,,22.5,,3.4
